,price,price_open,price_high,price_low,change
190,1056.20,1056.20,1056.20,1056.20,1056.20
191,1059.80,1059.80,1059.80,1059.80,1059.80
192,1056.20,1056.20,1056.20,1056.20,1056.20
193,1038.40,1038.40,1038.40,1038.40,1038.40
194,1013.80,1013.80,1013.80,1013.80,1013.80
195,1013.70,1013.70,1013.70,1013.70,1013.70
196,996.50,996.50,996.50,996.50,996.50
197,996.01,996.01,996.01,996.01,996.01
198,1000.30,1000.30,1000.30,1000.30,1000.30
199,992.00,992.00,992.00,992.00,992.00
200,984.97,984.97,984.97,984.97,984.97
201,1048.80,1048.80,1048.80,1048.80,1048.80
202,1052.10,1052.10,1052.10,1052.10,1052.10
203,1022.60,1022.60,1022.60,1022.60,1022.60
204,1006.60,1006.60,1006.60,1006.60,1006.60
205,1031.10,1031.10,1031.10,1031.10,1031.10
206,1015.70,1015.70,1015.70,1015.70,1015.70
207,1005.70,1005.70,1005.70,1005.70,1005.70
208,983.73,983.73,983.73,983.73,983.73
209,966.19,966.19,966.19,966.19,966.19
210,917.36,917.36,917.36,917.36,917.36
211,912.56,912.56,912.56,912.56,912.56
212,919.43,919.43,919.43,919.43,919.43
213,916.70,916.70,916.70,916.70,916.70
214,915.12,915.12,915.12,915.12,915.12
215,893.35,893.35,893.35,893.35,893.35
216,886.10,886.10,886.10,886.10,886.10
217,910.03,910.03,910.03,910.03,910.03
218,923.72,923.72,923.72,923.72,923.72
219,924.02,924.02,924.02,924.02,924.02
220,895.96,895.96,895.96,895.96,895.96
221,900.29,900.29,900.29,900.29,900.29
222,887.76,887.76,887.76,887.76,887.76
223,903.99,903.99,903.99,903.99,903.99
224,830.10,830.10,830.10,830.10,830.10
225,820.74,820.74,820.74,820.74,820.74
226,815.30,815.30,815.30,815.30,815.30
227,828.12,828.12,828.12,828.12,828.12
228,804.58,804.58,804.58,804.58,804.58
229,778.58,778.58,778.58,778.58,778.58
230,905.76,905.76,905.76,905.76,905.76
231,903.00,903.00,903.00,903.00,903.00
232,915.90,915.90,915.90,915.90,915.90
233,908.84,908.84,908.84,908.84,908.84
234,898.00,898.00,898.00,898.00,898.00
235,1003.20,1003.20,1003.20,1003.20,1003.20
236,1139.60,1139.60,1139.60,1139.60,1139.60
237,1037.50,1037.50,1037.50,1037.50,1037.50
238,1019.30,1019.30,1019.30,1019.30,1019.30
239,998.99,998.99,998.99,998.99,998.99
240,966.58,966.58,966.58,966.58,966.58
241,959.26,959.26,959.26,959.26,959.26
242,972.63,972.63,972.63,972.63,972.63
243,981.70,981.70,981.70,981.70,981.70
